article_title,venue,article_link,cluster_id,support,support_fraction,models_present,actionable,impact,evidence,avg_confidence,centroid_confidence,SOUND,PRECISE,CATEGORY
12,FSE/FSE 22/12.pdf,https://doi.org/10.1145/3540250.3549158,1,1,1/5,['mixtral'],"Educational researchers should consider focusing on language features new programmers are more likely to encounter, based on the predominant paradigm of Python code.",This could lead to better language designs in the future by understanding why Python has more/less instances of a smell compared to other languages.,"Researchers could benefit from knowing the predominant paradigm, so when they provide code examples they can focus on language features new programmers are more likely to encounter.",0.9,0.9,YES,NO,New Contributor Onboarding and Involvement
33,FSE/FSE 22/33.pdf,https://doi.org/10.1145/3540250.,2,3,3/5,deepseek|mixtral|qwen,Use the configurable depth parameter in WikiDoMiner to control corpus expansion based on project needs.,"Balances corpus size and relevance, improving downstream NLP tasks like ambiguity handling and question answering.",Empirical results show an average semantic relatedness of ≥ 0.94 when using depth parameter configurations.,0.9,0.85,YES,YES,Project Management and Governance
33,FSE/FSE 22/33.pdf,https://doi.org/10.1145/3540250.,1,3,3/5,deepseek|gpt|qwen|gemma,Implement NLP4RE solutions using Python-based libraries instead of other languages like Java.,Enables better reusability of existing solutions and avoids maintenance headaches and upgrading difficulties caused by relying on soon-to-be-outdated NLP libraries.,The authors explicitly state that a homogeneous implementation in Python is advantageous for reusability and helps practitioners avoid 'maintenance headaches and upgrading difficulties' associated with outdated libraries.,0.8833,0.95,YES,YES,Code Standards and Maintainability
33,FSE/FSE 22/33.pdf,https://doi.org/10.1145/3540250.,3,2,2/5,deepseek|mixtral,Use WikiDoMiner to automatically generate a domain-specific corpus for your requirements specification,"Improves handling of ambiguity, requirements classification, and question answering in the given domain","WikiDoMiner generates a corpus by extracting keywords from a given RS and querying Wikipedia for these keywords, resulting in a set of Wikipedia articles relevant to the domain of the input RS",0.95,0.95,YES,YES,Documentation Practices
18,FSE/FSE 20/18.pdf,https://www.researchgate.net/publication/345751911,2,4,4/5,deepseek|gpt|mixtral|qwen,"Apply temporospatial clustering on execution traces to partition application classes, dynamically adjusting the target cluster size (k) based on the number of provided use cases and dataset coverage.","Achieves optimal inter-partition call percentage (ICP), business context purity (BCP), and structural modularity (SM) for the specific application scale.","Sensitivity analysis in Table 2 shows DayTrader(small) is optimal at k=7, DayTrader(medium) at k=10, and DayTrader(large) at k=5, confirming that k depends on use case granularity and coverage percentage.",0.875,0.9,YES,YES,Automated Testing and Quality Assurance
18,FSE/FSE 20/18.pdf,https://www.researchgate.net/publication/345751911,4,3,3/5,deepseek|gpt|mixtral,Use the Mono2Micro toolchain to recommend partitions for enterprise Java applications.,Can help improve application maintainability and scalability by identifying independent business modules.,"Initial experience with Mono2Micro has yielded promising results, and experienced IT architects have positively affirmed the recommendations.",0.9167,0.9,YES,YES,Code Standards and Maintainability | CI/CD and DevOps Automation
18,FSE/FSE 20/18.pdf,https://www.researchgate.net/publication/345751911,3,2,2/5,deepseek|qwen,Merge partitions that contain classes with static data dependencies (association relations) to create natural-seams-based partitions instead of relying solely on business-logic seams.,"Prevents partitions from cutting across data dependencies, thereby reducing the effort required to transform the application and accommodate cross-partition data reliance.","Section 2.6 explains that merging based on association relations ensures natural-seams-based partitions do not cut across data dependencies, which directly reduces transformation effort compared to business-logic-seams-based partitions.",0.9,0.9,YES,YES,Code Standards and Maintainability
18,FSE/FSE 20/18.pdf,https://www.researchgate.net/publication/345751911,1,2,2/5,deepseek|qwen,Define business use cases and collect use-case-based execution traces by navigating the application UI or running functional test cases that correspond to well-defined business functions.,"Associates runtime calls with specific business functionalities, enabling the AI engine to generate partitions that reflect distinct and independent business modules.","Section 2.3 states that use-case-based traces allow runtime calls to be associated with business use cases, which are then analyzed to create meaningful groupings of classes.",0.875,0.9,YES,YES,Automated Testing and Quality Assurance
18,FSE/FSE 20/18.pdf,https://www.researchgate.net/publication/345751911,5,1,1/5,deepseek,Insert instrumentation statements into Java source files to capture method calls and returns at runtime.,This enables accurate tracing and analysis for microservice partitioning recommendations.,"The source-code instrumenter in Mono2Micro inserts println statements, as illustrated with the DayTrader application's execution traces.",0.85,0.85,YES,YES,Automated Testing and Quality Assurance | CI/CD and DevOps Automation
18,FSE/FSE 20/18.pdf,https://www.researchgate.net/publication/345751911,6,1,1/5,deepseek,Extract metadata from application classes to obtain structural information and data dependencies.,This enhances the accuracy of microservice partitioning by considering class relationships and dependencies.,"The metadata extractor parses class details, such as inheritance and member attributes, demonstrated in the DayTrader example.",0.85,0.85,YES,YES,Code Standards and Maintainability
